	topic	sentence_1	sentence_2	label
1796	Internet of things	We're imagining smart houses, smart cars, and even smarter people, all thanks to more connected devices enabling more connected services.	The Internet of Things will involve ubiquitous smart objects that sense and communicate directly over the internet creating better data without human intervention.	HS
1797	Internet of things	He asserts that the Internet of Everything will provide richer experiences, new capabilities, and unprecedented economic opportunity for businesses, individuals, and nations.	The Internet of Things connects millions of devices and extends intelligence to utilities, city leaders and consumers, creating new opportunities for harnessing the power of information.'	SS
1798	Internet of things	And in the process consumers discover that they can control their appliances in a way that saves energy .	"This emerging ""Internet of Things"" promises to help federal agencies generate efficiencies and more effectively achieve their missions, but it also raises significant cybersecurity concerns."	NS
1799	Internet of things	Those objects are then enabled to take actions that presumably create a more efficient, carefree existence for people.	The network uses a technology called Lora WAN, that enables to transmit small packages of data over long distance, at very low energy and money cost.	NS
1800	Internet of things	Io T is helping automotive companies to optimize production operations, efficiently manage inventory and grow sales.	Thanks to the internet, your identity can be stolen, your home invaded and your savings robbed without anyone setting foot inside your door.	NS
1801	Internet of things	The Internet of Agents also lets you unlock your car when you lock your keys in the trunk.	The network uses a technology called Lora WAN, that enables to transmit small packages of data over long distance, at very low energy and money cost.	NS
1802	Internet of things	"The M2M or ""Internet of Things"" proposition opens up a vast new array of opportunity for carriers, entrepreneurs and consumer experiences."	He asserts that the Internet of Everything will provide richer experiences, new capabilities, and unprecedented economic opportunity for businesses, individuals, and nations.	SS
1803	Internet of things	Those objects are then enabled to take actions that presumably create a more efficient, carefree existence for people.	We're imagining smart houses, smart cars, and even smarter people, all thanks to more connected devices enabling more connected services.	SS
1804	Internet of things	The amount of hydrogen produced can be controlled by the operator.	That is, the value of  can also be chosen for optimizing image quality.	DTORCD
1805	Internet of things	Io T can improve various aspects of manufacturing efficiency, including productivity, asset health, profitability, quality, safety, employee safety and environmental impact.	And if you act quickly, you could be among the savvy investors who enjoy the profits from this stunning change.	DTORCD
1806	Internet of things	We're imagining smart houses, smart cars, and even smarter people, all thanks to more connected devices enabling more connected services.	At the Hospital : One area where the technology that enables the Internet of Things may have immediate and considerable impact is healthcare.	NS
1807	Internet of things	He asserts that the Internet of Everything will provide richer experiences, new capabilities, and unprecedented economic opportunity for businesses, individuals, and nations.	The Internet of Things will involve ubiquitous smart objects that sense and communicate directly over the internet creating better data without human intervention.	SS
1808	Internet of things	At the Hospital : One area where the technology that enables the Internet of Things may have immediate and considerable impact is healthcare.	Being able to remotely monitor and control which devices are on and off at any certain time helps homeowners reduce monthly electric, gas and water bills.	NS
1809	Internet of things	For Io E-based investments, value drivers include innovation, employee productivity, asset utilization, customer experience, and supply chain.	At the Hospital : One area where the technology that enables the Internet of Things may have immediate and considerable impact is healthcare.	NS
1810	Internet of things	Nest, the Internet-connected thermostat, enables homeowners to control their heat from virtually anywhere via their smartphones.	The Internet of Things will further enable new services that will make our lives safer and more secure, more convenient and comfortable.	SS
1811	Internet of things	Characteristics of a Surveillance System:Characteristics of a Surveillance System  Acceptability Are people and organizations willing to participate in the surveillance system ?	We believe the sources of historical investment in nanotechnology, current market conditions, and lack of apparent disruptive technologies provide insight into this decrease in participation.	DTORCD
1812	Internet of things	We can build the world we want to live in or we can do what's easy, and profitable, in the short run.	At the Hospital : One area where the technology that enables the Internet of Things may have immediate and considerable impact is healthcare.	NS
1813	Internet of things	At the Hospital : One area where the technology that enables the Internet of Things may have immediate and considerable impact is healthcare.	The Internet of Things connects millions of devices and extends intelligence to utilities, city leaders and consumers, creating new opportunities for harnessing the power of information.'	NS
1814	Internet of things	This information will let people better manage factories, airports, hospitals, homes, and their everyday lives, sometimes without them even knowing it.	Thanks to the internet, your identity can be stolen, your home invaded and your savings robbed without anyone setting foot inside your door.	NS
1815	Internet of things	Nest, the Internet-connected thermostat, enables homeowners to control their heat from virtually anywhere via their smartphones.	Being able to remotely monitor and control which devices are on and off at any certain time helps homeowners reduce monthly electric, gas and water bills.	HS
1816	Internet of things	He asserts that the Internet of Everything will provide richer experiences, new capabilities, and unprecedented economic opportunity for businesses, individuals, and nations.	To give a particular example, health providers could use it to predict disease, reduce hospital visits and make better use of clinical data.	DTORCD
1817	Internet of things	And in the process consumers discover that they can control their appliances in a way that saves energy .	The All ...Internet of Things (Io T) seeks to merge physical and virtual worlds creating 'smart environments' to improve EU citizens' lives.	SS
1818	Internet of things	Integrating social networks and Io Ts has the potential to support novel applications and networking services for the Io Ts in more effective and efficient ways.	Being able to remotely monitor and control which devices are on and off at any certain time helps homeowners reduce monthly electric, gas and water bills.	NS
1819	Internet of things	But the delay is a good thing: it gives marketers a chance to optimize the Internet of Things for customer engagement.	Billions of interconnected devices will be monitoring the environment, transportation systems, factories, farms, forests, utilities, soil and weather conditions, oceans and resources.	NS
1820	Internet of things	This is a perfect example of how the Internet of Things can not only improve lives, but actually save them.	To give a particular example, health providers could use it to predict disease, reduce hospital visits and make better use of clinical data.	DTORCD
1821	Internet of things	This information will let people better manage factories, airports, hospitals, homes, and their everyday lives, sometimes without them even knowing it.	Billions of interconnected devices will be monitoring the environment, transportation systems, factories, farms, forests, utilities, soil and weather conditions, oceans and resources.	HS
1822	Internet of things	Io T is helping leading chemical companies optimize equipment effectiveness, reduce cost of quality control and compliance, and improve return on innovation.	"The M2M or ""Internet of Things"" proposition opens up a vast new array of opportunity for carriers, entrepreneurs and consumer experiences."	NS
1823	Internet of things	Thanks to the internet, your identity can be stolen, your home invaded and your savings robbed without anyone setting foot inside your door.	Being able to remotely monitor and control which devices are on and off at any certain time helps homeowners reduce monthly electric, gas and water bills.	NS
1824	Internet of things	And in the process consumers discover that they can control their appliances in a way that saves energy .	Thanks to the internet, your identity can be stolen, your home invaded and your savings robbed without anyone setting foot inside your door.	NS
1825	Internet of things	Either in Smartphones or tablets the fact is that thousands of Android devices are being activated daily.	The Advantages and Disadvantages Of Social Networking Social Networking is a recent invention that...Advantages of Social Networking Social networking offers many benefits.	DTORCD
1826	Internet of things	We're imagining smart houses, smart cars, and even smarter people, all thanks to more connected devices enabling more connected services.	And if you act quickly, you could be among the savvy investors who enjoy the profits from this stunning change.	DTORCD
1827	Internet of things	Nest, the Internet-connected thermostat, enables homeowners to control their heat from virtually anywhere via their smartphones.	We're imagining smart houses, smart cars, and even smarter people, all thanks to more connected devices enabling more connected services.	SS
1828	Internet of things	Billions of interconnected devices will be monitoring the environment, transportation systems, factories, farms, forests, utilities, soil and weather conditions, oceans and resources.	He asserts that the Internet of Everything will provide richer experiences, new capabilities, and unprecedented economic opportunity for businesses, individuals, and nations.	SS
1829	Internet of things	And if you act quickly, you could be among the savvy investors who enjoy the profits from this stunning change.	The Internet of Agents would do this in addition to enabling you to activate your alarm system through your smartphone, even miles away from home.	DTORCD
1830	Internet of things	Home New Internet technology continues to transform the Internet in ways we can hardly imagine.	Internet-connected objects , from thermostats and lights to smart outlets and key tracking devices, are used in the home to help owners save time and money.	NS
1831	Internet of things	The network uses a technology called Lora WAN, that enables to transmit small packages of data over long distance, at very low energy and money cost.	Internet-connected objects , from thermostats and lights to smart outlets and key tracking devices, are used in the home to help owners save time and money.	NS
1832	Internet of things	This is a perfect example of how the Internet of Things can not only improve lives, but actually save them.	Integrating social networks and Io Ts has the potential to support novel applications and networking services for the Io Ts in more effective and efficient ways.	NS
1833	Internet of things	Most men experience at least temporary erectile problems after a radical prostatectomy.	Advertisement Still in their infancy, cryptocurrencies could change the way that companies manage payments for the goods and services that are the essence of global trade.	DTORCD
1834	Internet of things	We're imagining smart houses, smart cars, and even smarter people, all thanks to more connected devices enabling more connected services.	Io T is helping leading chemical companies optimize equipment effectiveness, reduce cost of quality control and compliance, and improve return on innovation.	NS
1835	Internet of things	Io T is helping automotive companies to optimize production operations, efficiently manage inventory and grow sales.	This information will let people better manage factories, airports, hospitals, homes, and their everyday lives, sometimes without them even knowing it.	SS
1836	Internet of things	The All ...Internet of Things (Io T) seeks to merge physical and virtual worlds creating 'smart environments' to improve EU citizens' lives.	The Internet of Things will involve ubiquitous smart objects that sense and communicate directly over the internet creating better data without human intervention.	SS
1837	Internet of things	Being able to remotely monitor and control which devices are on and off at any certain time helps homeowners reduce monthly electric, gas and water bills.	Internet-connected objects , from thermostats and lights to smart outlets and key tracking devices, are used in the home to help owners save time and money.	HS
1838	Internet of things	Those objects are then enabled to take actions that presumably create a more efficient, carefree existence for people.	"This emerging ""Internet of Things"" promises to help federal agencies generate efficiencies and more effectively achieve their missions, but it also raises significant cybersecurity concerns."	NS
1839	Internet of things	Integrating social networks and Io Ts has the potential to support novel applications and networking services for the Io Ts in more effective and efficient ways.	Physical items are no longer disconnected from the virtual world, but can be controlled remotely and can act as physical access points to Internet services.	NS
1840	Internet of things	Billions of interconnected devices will be monitoring the environment, transportation systems, factories, farms, forests, utilities, soil and weather conditions, oceans and resources.	The network uses a technology called Lora WAN, that enables to transmit small packages of data over long distance, at very low energy and money cost.	NS
1841	Internet of things	At the Hospital : One area where the technology that enables the Internet of Things may have immediate and considerable impact is healthcare.	Integrating social networks and Io Ts has the potential to support novel applications and networking services for the Io Ts in more effective and efficient ways.	NS
1842	Internet of things	This is a perfect example of how the Internet of Things can not only improve lives, but actually save them.	This information will let people better manage factories, airports, hospitals, homes, and their everyday lives, sometimes without them even knowing it.	SS
1843	Internet of things	Home New Internet technology continues to transform the Internet in ways we can hardly imagine.	The All ...Internet of Things (Io T) seeks to merge physical and virtual worlds creating 'smart environments' to improve EU citizens' lives.	NS
1844	Internet of things	While the threat of fracking is largely imagined, the dangers of banning fracking are real.	You can easily find recycled toilet rolls, kitchen rolls, tissues, stationery and packing materials, as well as printer, copier and writing paper.	DTORCD
1845	Internet of things	The Internet of Agents also lets you unlock your car when you lock your keys in the trunk.	The Internet of Agents would do this in addition to enabling you to activate your alarm system through your smartphone, even miles away from home.	SS
1846	Internet of things	But the delay is a good thing: it gives marketers a chance to optimize the Internet of Things for customer engagement.	The Internet of Things will further enable new services that will make our lives safer and more secure, more convenient and comfortable.	NS
1847	Internet of things	"This emerging ""Internet of Things"" promises to help federal agencies generate efficiencies and more effectively achieve their missions, but it also raises significant cybersecurity concerns."	Physical items are no longer disconnected from the virtual world, but can be controlled remotely and can act as physical access points to Internet services.	NS
1848	Internet of things	This is a perfect example of how the Internet of Things can not only improve lives, but actually save them.	The All ...Internet of Things (Io T) seeks to merge physical and virtual worlds creating 'smart environments' to improve EU citizens' lives.	SS
1849	Internet of things	Nest, the Internet-connected thermostat, enables homeowners to control their heat from virtually anywhere via their smartphones.	We can build the world we want to live in or we can do what's easy, and profitable, in the short run.	NS
1850	Internet of things	Easy Solar Power | motherearthnews.com/Renewable-Energy/2006-10-01/Easy-Solar-Power.aspx	A: We need public awareness campaigns encouraging people to donate their organs and explaining that there is now a transparent system to handle this.	DTORCD
1851	Internet of things	Billions of interconnected devices will be monitoring the environment, transportation systems, factories, farms, forests, utilities, soil and weather conditions, oceans and resources.	Physical items are no longer disconnected from the virtual world, but can be controlled remotely and can act as physical access points to Internet services.	SS
1852	Internet of things	Billions of interconnected devices will be monitoring the environment, transportation systems, factories, farms, forests, utilities, soil and weather conditions, oceans and resources.	Being able to remotely monitor and control which devices are on and off at any certain time helps homeowners reduce monthly electric, gas and water bills.	SS
1853	Internet of things	"The M2M or ""Internet of Things"" proposition opens up a vast new array of opportunity for carriers, entrepreneurs and consumer experiences."	At the Hospital : One area where the technology that enables the Internet of Things may have immediate and considerable impact is healthcare.	SS
1854	Internet of things	Physical items are no longer disconnected from the virtual world, but can be controlled remotely and can act as physical access points to Internet services.	Being able to remotely monitor and control which devices are on and off at any certain time helps homeowners reduce monthly electric, gas and water bills.	NS
1855	Internet of things	He asserts that the Internet of Everything will provide richer experiences, new capabilities, and unprecedented economic opportunity for businesses, individuals, and nations.	The network uses a technology called Lora WAN, that enables to transmit small packages of data over long distance, at very low energy and money cost.	DTORCD
1856	Internet of things	Io T is helping leading chemical companies optimize equipment effectiveness, reduce cost of quality control and compliance, and improve return on innovation.	Billions of interconnected devices will be monitoring the environment, transportation systems, factories, farms, forests, utilities, soil and weather conditions, oceans and resources.	NS
1857	Internet of things	We're imagining smart houses, smart cars, and even smarter people, all thanks to more connected devices enabling more connected services.	He asserts that the Internet of Everything will provide richer experiences, new capabilities, and unprecedented economic opportunity for businesses, individuals, and nations.	NS
1858	Internet of things	Nest, the Internet-connected thermostat, enables homeowners to control their heat from virtually anywhere via their smartphones.	He asserts that the Internet of Everything will provide richer experiences, new capabilities, and unprecedented economic opportunity for businesses, individuals, and nations.	NS
1859	Internet of things	Io T is helping automotive companies to optimize production operations, efficiently manage inventory and grow sales.	At the Hospital : One area where the technology that enables the Internet of Things may have immediate and considerable impact is healthcare.	NS
