	topic	sentence_1	sentence_2	label
2704	Robotic surgery	Robotic Surgery Highly beneficial to patients, robotic surgery allows skilled surgeons to perform complex medical procedures with great precision using just a minimally invasive approach.	Minimally invasive surgery has become standard-of-care for many surgical procedures because in many patients it enables shorter recovery times with less blood loss and smaller scars.	SS
2705	Robotic surgery	Robotic surgery offers patients less pain, fewer complications, and a faster return to normal daily activities.	Robotic surgery leaves fewer incisions on patients, and almost always leaves the patient with a quicker recovery time.	HS
2706	Robotic surgery	Minimally invasive surgery allows for a quicker recovery time, less pain, less bleeding and shorter hospitalization.	The results of minimally invasive surgeryinclude potentially quicker recovery times, fewer complications, reducedhospitalization costs and less scarring.	HS
2707	Robotic surgery	"Another benefit is that it dramatically reduces pain after surgery, and shortens the patient's hospital stay and recovery time."""	The precision and dexterity of the Da Vinci robot allows surgeons to perform procedures with smaller incisions and a shorter recovery time for the patient.	HS
2708	Robotic surgery	Robotic surgery offers patients less pain, fewer complications, and a faster return to normal daily activities.	Avoiding a long chest incision reduces pain and recovery time so you resume normal activities sooner.	HS
2709	Robotic surgery	Robotic surgery leaves fewer incisions on patients, and almost always leaves the patient with a quicker recovery time.	The precision and dexterity of the Da Vinci robot allows surgeons to perform procedures with smaller incisions and a shorter recovery time for the patient.	HS
2710	Robotic surgery	Robotic surgery offers patients less pain, fewer complications, and a faster return to normal daily activities.	In addition, there is less suturing with robotic surgery, which eases pain, reduces recovery times and leads to fewer complications.	HS
2711	Robotic surgery	The election information can thus be programmed into the voting apparatus without requiring workers to g through a complex computer programming process.	"63 percent of Americans think it would be ""a change for the worse"" if personal and commercial drones are permitted to fly through U.S. airspace."	DTORCD
2712	Robotic surgery	The precision and dexterity of the Da Vinci robot allows surgeons to perform procedures with smaller incisions and a shorter recovery time for the patient.	Minimally invasive surgery has become standard-of-care for many surgical procedures because in many patients it enables shorter recovery times with less blood loss and smaller scars.	SS
2713	Robotic surgery	Avoiding a long chest incision reduces pain and recovery time so you resume normal activities sooner.	Minimally invasive surgery has become standard-of-care for many surgical procedures because in many patients it enables shorter recovery times with less blood loss and smaller scars.	SS
2714	Robotic surgery	Patients experience less pain, fewer infections and complications, a shorter hospital stay and a faster recovery.	With this approach, the surgeon removes the prostate without damaging the nerves that control erectile function and without damaging nearby organs.	NS
2715	Robotic surgery	The da Vinci Robotic Surgery System is designed to be less invasive than traditional surgery, thereby reducing recovery time for patients.	The enhanced precision of robotic surgery also makes sparing vital nerves easier and reduces the likelihood of complications such as sexual or urinary dysfunction.	NS
2716	Robotic surgery	For the patient, robotic surgery is minimally invasive, less painful, promotes faster recovery and reduces risk of infection.	Benefits include reduced trauma on the body, minimal scarring and faster recovery times as it is a minimally invasive procedure.	HS
2717	Robotic surgery	Both laparoscopy and robot-assisted surgery require smaller incisions, which result in a quicker recovery for the patient and decreased risk of infection.	The precision and dexterity of the Da Vinci robot allows surgeons to perform procedures with smaller incisions and a shorter recovery time for the patient.	HS
2718	Robotic surgery	This advancement allows for less contact between exposed interior tissue and the surgical device, greatly reducing the risk of infection.	In addition, the cancer tissue can be completely removed without breakage or spillage, thereby reducing the chance of the cancer recurring after surgery.	NS
2719	Robotic surgery	Moreover, robotic surgery can enable a shorter hospital stay, a quicker recovery and faster return to normal daily activities.	Compared to traditional open surgery, a robotic-assisted lobectomy is minimally invasive and helps patients return to their normal activities quicker.	HS
2720	Robotic surgery	Potential Utility in Developing Countries Syndromic surveillance offers a useful adjunct to diagnosis-based surveillance of emerging infections in developing countries.	Off course you will need to make tea yourself, It can help in making your custom designed Cups only.	DTORCD
2721	Robotic surgery	Benefits include reduced trauma on the body, minimal scarring and faster recovery times as it is a minimally invasive procedure.	Both theseprocedures allow surgeons to operate through small ports rather than large incisions, resulting in shorter recovery times, fewer complications and reduced hospital stays.	HS
2722	Robotic surgery	Robotic surgery offers patients less pain, fewer complications, and a faster return to normal daily activities.	9News ran a story on the robotic system which enables surgeons to provide more accurate minimally invasive spine surgeries, with less pain & a faster recovery.	HS
2723	Robotic surgery	Now laparoscopic and robotic surgery is enabling surgeons to perform this complex minimally invasive surgery with more precision, offering patients improved outcomes.	Minimally invasive surgery has become standard-of-care for many surgical procedures because in many patients it enables shorter recovery times with less blood loss and smaller scars.	SS
2724	Robotic surgery	Robotic surgery offers patients less pain, fewer complications, and a faster return to normal daily activities.	What are the advantages of robotic surgery? A. Patients experience less pain, shorter hospital stays and faster recovery times than they do in traditional surgery.	HS
2725	Robotic surgery	Lastly, robotic prostate removal results in fewer surgical complications and reduces unplanned hospital readmissions.	That's because the da Vinci Surgical System enables surgeons to make miniscule incisions compared to other surgical methods; smaller incisions reduce the physical trauma of surgery.	SS
2726	Robotic surgery	In addition, there is less suturing with robotic surgery, which eases pain, reduces recovery times and leads to fewer complications.	The Benefits of Robot-Assisted Surgery Robot-assisted surgery has all the advantage of laparoscopic surgery -- faster healing, less pain, fewer complications and less scarring.	HS
