	topic	sentence_1	sentence_2	label
0	3d printing	3D Printed Products Can Improve Health Outcomes and Reduce Costs 7.1.4	Specifically, the Navy hopes to see 3D printing help improve readiness, allow for faster manufacturing, and reduce storage and shipping costs.	NS
1	3d printing	This could greatly increase the quality of life of those currently living in less than ideal conditions.	The advent and spread of new technologies, like that of 3D printing can transform our lives in many ways.	DTORCD
2	3d printing	Controlled Print Chamber: Controlled process environment ensures true to CAD prints and delivers professional quality every time.	The new non-clog technology and moisture-lock cartridges ensure extended shelf life and total material usage, improving print quality and sustainability.	SS
3	3d printing	Spark will make visualization of prints much easier, as it streamlines digital information to 3D printers in a unique, efficient way.	The Cube Pro features a controlled environment print chamber that assures high-fidelity performance and delivers professional quality prints consistently and with the ease.	NS
4	3d printing	Affordable 3D Printing for everyone With the UP Mini 3D Printer costing less than $1300, 3D printing has become affordable for everyone.	"The Experience Centre, combined with our new Staples Easy 3D online service, will provide everyone access to lifelike, photorealistic 3D printed products at an affordable price."""	SS
5	3d printing	The ability for the printer to accept direct pellets of material, opens up the opportunity for new and innovative materials.	3D printing technology is thus offering individuals as well as companies with the ability to design as well as manufacture objects at relatively lower costs.	NS
6	3d printing	"If the answer is ""No"", it is the ""extra cost"" or ""hidden cost"" that I can not afford."	Before using new drugs in people, some types of stem cells are useful to test the safety and quality of investigational drugs.	DTORCD
7	3d printing	It also enables Windows Store apps to submit 3D print jobs to these devices.	This technology could also offer consumers the chance to even customize the items they want to purchase in unique ways.	NS
8	3d printing	They succeeded, but they also believe that this affordable scanning technology could be used to provided periodic inspections of ongoing print jobs.	3D printing technology is thus offering individuals as well as companies with the ability to design as well as manufacture objects at relatively lower costs.	NS
9	3d printing	Moisture-lock cartridge ensures extended shelf life and total material usage, improving print quality and sustainability.	It features great flexibility, superb surface quality, excellent dimensional stability, and comes in a single cartridge.	SS
10	3d printing	The technology could greatly improve energy storage in smartphones, electric cars, and wireless sensors.	Specifically, the Navy hopes to see 3D printing help improve readiness, allow for faster manufacturing, and reduce storage and shipping costs.	DTORCD
11	3d printing	3D printing helps to improve quality and speeds up the production.	3D printing service companies were also eager to engage with potential customers, showing high quality parts available for remote ordering online.	NS
12	3d printing	People in remote locations can fabricate objects that would otherwise be inaccessible to them.	The advent and spread of new technologies, like that of 3D printing can transform our lives in many ways.	SS
13	3d printing	As 3D printing becomes more affordable, more small businesses and inventors will be able to benefit from it.	Each store features an immersive 3D printing experience center that lets consumers and small businesses create personalized products and use 3D printing hardware.	NS
14	3d printing	The ability to manufacture a complex design in a short span with low setup costs makes 3D printing efficient in several applications.	The Cube Pro features a controlled environment print chamber that assures high-fidelity performance and delivers professional quality prints consistently and with the ease.	NS
15	3d printing	"""3D printing used to be out of reach for most businesses - but costs are coming down and materials technology has improved greatly."	Large size 3D printers will able to do printing of various miniatures to put in Showrooms as per the custom needs of businesses.	NS
16	3d printing	Now it turns out the ZFSSA is an excellent storage device for Cloud services.	With all the rhetoric about reducing public spending and economic disparity, a basic income would help achieve both goals.	DTORCD
17	3d printing	Large size 3D printers will able to do printing of various miniatures to put in Showrooms as per the custom needs of businesses.	(Photo: Business Wire)Each store features an immersive 3D printing experience center that lets consumers and small businesses create personalized products and use 3D printing hardware.	NS
18	3d printing	3D printing helps to improve quality and speeds up the production.	Moisture-lock cartridge ensures extended shelf life and total material usage, improving print quality and sustainability.	NS
19	3d printing	(Photo: Business Wire)Each store features an immersive 3D printing experience center that lets consumers and small businesses create personalized products and use 3D printing hardware.	"The Experience Centre, combined with our new Staples Easy 3D online service, will provide everyone access to lifelike, photorealistic 3D printed products at an affordable price."""	SS
20	3d printing	With 3D printing, designers have the ability to quickly turn concepts into 3D models or prototypes (aka rapid prototyping), and implement rapid design changes.	3D printing technology is thus offering individuals as well as companies with the ability to design as well as manufacture objects at relatively lower costs.	SS
21	3d printing	They succeeded, but they also believe that this affordable scanning technology could be used to provided periodic inspections of ongoing print jobs.	Groenendyk and Gallant also observed that offering the 3D printing service through a full service model was limiting their users' ability to effectively use the technology.	NS
22	3d printing	As 3D printing becomes more affordable, more small businesses and inventors will be able to benefit from it.	3D printing technology is thus offering individuals as well as companies with the ability to design as well as manufacture objects at relatively lower costs.	SS
23	3d printing	3d printing is an innovative technology which in the near future could contribute towards an increase in domestic jobs by increasing domestic manufacturing.	The market for 3D Printing Products is projected to grow manifold in the near future with 3D printer systems becoming more affordable and easy to use.	SS
24	3d printing	Spark will make visualization of prints much easier, as it streamlines digital information to 3D printers in a unique, efficient way.	"The Experience Centre, combined with our new Staples Easy 3D online service, will provide everyone access to lifelike, photorealistic 3D printed products at an affordable price."""	NS
25	3d printing	Spark will make visualization of prints much easier, as it streamlines digital information to 3D printers in a unique, efficient way.	With 3D printing, designers have the ability to quickly turn concepts into 3D models or prototypes (aka rapid prototyping), and implement rapid design changes.	SS
26	3d printing	"""3D printing used to be out of reach for most businesses - but costs are coming down and materials technology has improved greatly."	The market for 3D Printing Products is projected to grow manifold in the near future with 3D printer systems becoming more affordable and easy to use.	SS
27	3d printing	As 3D technology matures, mass production within developed nations could be cheaper than manufacturing and shipping products from overseas markets.	3D printing technology is thus offering individuals as well as companies with the ability to design as well as manufacture objects at relatively lower costs.	SS
28	3d printing	For instance, big data has helped retailers track web clicks and identify consumer behavior for a particular campaign.	Growing momentum The blurring of the lines between the physical world and the virtual is already radically altering business processes and practice.	DTORCD
29	3d printing	Sustainable Systems - 3DS is committed to making consumer 3D printing affordable, safe and sustainable.	Specifically, the Navy hopes to see 3D printing help improve readiness, allow for faster manufacturing, and reduce storage and shipping costs.	NS
30	3d printing	3D printing helps to improve quality and speeds up the production.	In weight sensitive applications such as satellites and planes 3D printing of parts can cut weight which saves a lot of money.	NS
31	3d printing	The ability to manufacture a complex design in a short span with low setup costs makes 3D printing efficient in several applications.	Affordable 3D Printing for everyone With the UP Mini 3D Printer costing less than $1300, 3D printing has become affordable for everyone.	NS
32	3d printing	3D Scanning As 3D scanning quickly becomes more efficient, 3D printing enthusiasts are going to have an easier time getting designs.	Spark will make visualization of prints much easier, as it streamlines digital information to 3D printers in a unique, efficient way.	NS
33	3d printing	The Cube Pro features a controlled environment print chamber that assures high-fidelity performance and delivers professional quality prints consistently and with the ease.	(Photo: Business Wire)Each store features an immersive 3D printing experience center that lets consumers and small businesses create personalized products and use 3D printing hardware.	NS
34	3d printing	"The Experience Centre, combined with our new Staples Easy 3D online service, will provide everyone access to lifelike, photorealistic 3D printed products at an affordable price."""	The market for 3D Printing Products is projected to grow manifold in the near future with 3D printer systems becoming more affordable and easy to use.	SS
35	3d printing	It also enables Windows Store apps to submit 3D print jobs to these devices.	Adobe Photoshop users can access Europac 3DPrintworx's professional print services from within the app to get best-in-class 3D prints at reasonable prices.	SS
36	3d printing	This may lead to reduction in the costs of adopting the alternative approaches.	2007 ..These results show that ABM is biocompatible, durable and effective when used as a tunica substitute.	DTORCD
37	3d printing	3D Miniature printing Miniature printing will be more easier for businesses using these 3D printers.	"""3D printing used to be out of reach for most businesses - but costs are coming down and materials technology has improved greatly."	SS
38	3d printing	This could greatly increase the quality of life of those currently living in less than ideal conditions.	They hope that one day, these robots can be used to detect and/or neutralize specific chemical and toxins found in our environment.	DTORCD
39	3d printing	Strong, Fast & Long-lasting: Guaranteed faster, precise prints with easy feed cartridges for prolonged material life.	Controlled Print Chamber - Controlled process environment ensures true to CAD prints and delivers professional quality every time.	NS
40	3d printing	Strong, Fast & Long-lasting: Guaranteed faster, precise prints with easy feed cartridges for prolonged material life.	Becoming 3D's cost-effective solutions help reduce material wastes, and allows small businesses to bring costly and time consuming manufacturing in-house.	NS
41	3d printing	They succeeded, but they also believe that this affordable scanning technology could be used to provided periodic inspections of ongoing print jobs.	GE hopes to further expand the technology in the future to help extend the lifespan of products and help reduce manufacturing cost and time.	NS
42	3d printing	3D printing service companies were also eager to engage with potential customers, showing high quality parts available for remote ordering online.	"The Experience Centre, combined with our new Staples Easy 3D online service, will provide everyone access to lifelike, photorealistic 3D printed products at an affordable price."""	SS
43	3d printing	It lets manufacturers produce products on demand rather than in large runs, improving inventory management and reducing warehouse space.	"The Experience Centre, combined with our new Staples Easy 3D online service, will provide everyone access to lifelike, photorealistic 3D printed products at an affordable price."""	NS
44	3d printing	3D printing helps to improve quality and speeds up the production.	Each Staples store features an immersive 3D printing experience center that lets consumers and small businesses create personalized products and use 3D printing hardware.	NS
45	3d printing	These trails don't dissipate after a few minutes and they often cause the sky to become cloudy.	Healthcare: Estimating cost effectiveness of new drugs and tracking disease outbreaks in real time are part of an analyst's job.	DTORCD
46	3d printing	The ability to manufacture a complex design in a short span with low setup costs makes 3D printing efficient in several applications.	3D printing technology is thus offering individuals as well as companies with the ability to design as well as manufacture objects at relatively lower costs.	SS
47	3d printing	One of the coolest features of 3D printers is the ability to replicate existing objects, and better scanners are making that goal more and more likely.	Groenendyk and Gallant also observed that offering the 3D printing service through a full service model was limiting their users' ability to effectively use the technology.	NS
48	3d printing	3D printing helps to improve quality and speeds up the production.	Sustainable Systems - 3DS is committed to making consumer 3D printing affordable, safe and sustainable.	NS
49	3d printing	Furthermore, as 3D printing speeds and material quality improves, greater adoption of additive production technologies is expected.	It also touts the ability to print in multiple and extremely affordable materials, print at high speeds, and in full color.	SS
50	3d printing	Adobe Photoshop users can access Europac 3DPrintworx's professional print services from within the app to get best-in-class 3D prints at reasonable prices.	(Photo: Business Wire)Each store features an immersive 3D printing experience center that lets consumers and small businesses create personalized products and use 3D printing hardware.	NS
51	3d printing	Becoming 3D's cost-effective solutions help reduce material wastes, and allows small businesses to bring costly and time consuming manufacturing in-house.	(Photo: Business Wire)Each store features an immersive 3D printing experience center that lets consumers and small businesses create personalized products and use 3D printing hardware.	NS
52	3d printing	It also enables Windows Store apps to submit 3D print jobs to these devices.	Instant Load Cartridge - Instant material loading is now easier than changing an ink cartridge.	NS
53	3d printing	It will delay what Dr. Oz has claimed to be available in less than 10 years.	This is all solved by one simple thing: Basic Income Guaranteed and we can Guarantee a society that is Living in Balance.	DTORCD
54	3d printing	With 3D printing, designers have the ability to quickly turn concepts into 3D models or prototypes (aka rapid prototyping), and implement rapid design changes.	One of the coolest features of 3D printers is the ability to replicate existing objects, and better scanners are making that goal more and more likely.	SS
55	3d printing	3D Scanning As 3D scanning quickly becomes more efficient, 3D printing enthusiasts are going to have an easier time getting designs.	The ability to manufacture a complex design in a short span with low setup costs makes 3D printing efficient in several applications.	HS
56	3d printing	3D printing helps to improve quality and speeds up the production.	It lets manufacturers produce products on demand rather than in large runs, improving inventory management and reducing warehouse space.	SS
57	3d printing	Becoming 3D's cost-effective solutions help reduce material wastes, and allows small businesses to bring costly and time consuming manufacturing in-house.	Specifically, the Navy hopes to see 3D printing help improve readiness, allow for faster manufacturing, and reduce storage and shipping costs.	SS
58	3d printing	Furthermore, as 3D printing speeds and material quality improves, greater adoption of additive production technologies is expected.	The ability to manufacture a complex design in a short span with low setup costs makes 3D printing efficient in several applications.	NS
59	3d printing	They hope that one day, these robots can be used to detect and/or neutralize specific chemical and toxins found in our environment.	Large size 3D printers will able to do printing of various miniatures to put in Showrooms as per the custom needs of businesses.	DTORCD
60	3d printing	Home 3D printer users can also download some files for free for 3D printing on their machine.	With 3D printing, designers have the ability to quickly turn concepts into 3D models or prototypes (aka rapid prototyping), and implement rapid design changes.	NS
61	3d printing	Each store features an immersive 3D printing experience center that lets consumers and small businesses create personalized products and use 3D printing hardware.	"""3D printing used to be out of reach for most businesses - but costs are coming down and materials technology has improved greatly."	SS
62	3d printing	Controlled Print Chamber: Controlled process environment ensures true to CAD prints and delivers professional quality every time.	The Cube Pro features a controlled environment print chamber that assures high-fidelity performance and delivers professional quality prints consistently and with the ease.	HS
63	3d printing	Becoming 3D's cost-effective solutions help reduce material wastes, and allows small businesses to bring costly and time consuming manufacturing in-house.	The market for 3D Printing Products is projected to grow manifold in the near future with 3D printer systems becoming more affordable and easy to use.	SS
64	3d printing	The ability to manufacture a complex design in a short span with low setup costs makes 3D printing efficient in several applications.	The market for 3D Printing Products is projected to grow manifold in the near future with 3D printer systems becoming more affordable and easy to use.	NS
65	3d printing	3D printing helps to improve quality and speeds up the production.	Controlled Print Chamber - Controlled process environment ensures true to CAD prints and delivers professional quality every time.	NS
66	3d printing	Becoming 3D's cost-effective solutions help reduce material wastes, and allows small businesses to bring costly and time consuming manufacturing in-house.	The ability to manufacture a complex design in a short span with low setup costs makes 3D printing efficient in several applications.	SS
67	3d printing	3D Miniature printing Miniature printing will be more easier for businesses using these 3D printers.	Affordable 3D Printing for everyone With the UP Mini 3D Printer costing less than $1300, 3D printing has become affordable for everyone.	SS
68	3d printing	* In 2004, Maryland owned 16,000 Diebold Accu Vote-TS electronic voting machines, each with two locked bays to protect the machines from tampering.	In one embodiment of the invention, a power control and supply unit ( 307 ) supplies electrical power to the digital photo frame.	DTORCD
69	3d printing	As 3D printing becomes more affordable, more small businesses and inventors will be able to benefit from it.	Each Staples store features an immersive 3D printing experience center that lets consumers and small businesses create personalized products and use 3D printing hardware.	SS
70	3d printing	The new non-clog technology and moisture-lock cartridges ensure extended shelf life and total material usage, improving print quality and sustainability.	The ability to manufacture a complex design in a short span with low setup costs makes 3D printing efficient in several applications.	NS
71	3d printing	3D printing helps to improve quality and speeds up the production.	Specifically, the Navy hopes to see 3D printing help improve readiness, allow for faster manufacturing, and reduce storage and shipping costs.	SS
72	3d printing	It lets manufacturers produce products on demand rather than in large runs, improving inventory management and reducing warehouse space.	The new non-clog technology and moisture-lock cartridges ensure extended shelf life and total material usage, improving print quality and sustainability.	NS
73	3d printing	It lets manufacturers produce products on demand rather than in large runs, improving inventory management and reducing warehouse space.	Becoming 3D's cost-effective solutions help reduce material wastes, and allows small businesses to bring costly and time consuming manufacturing in-house.	SS
74	3d printing	Sustainable Systems - 3DS is committed to making consumer 3D printing affordable, safe and sustainable.	"The Experience Centre, combined with our new Staples Easy 3D online service, will provide everyone access to lifelike, photorealistic 3D printed products at an affordable price."""	SS
75	3d printing	"Theyhave ""enabled"" over 200 people worldwide, and are very versatile, easy to use, and perhaps most importantly, very affordable."	As 3D technology matures, mass production within developed nations could be cheaper than manufacturing and shipping products from overseas markets.	NS
76	3d printing	3D printing helps to improve quality and speeds up the production.	Affordable 3D Printing for everyone With the UP Mini 3D Printer costing less than $1300, 3D printing has become affordable for everyone.	NS
77	3d printing	"Cost-effectively producing algal biofuels on a large scale may be many years away."""	As a surgeon, Dr. Samadi leads the robotic procedure himself from start-to-finish and performs approximately 40-50 surgeries per month.	DTORCD
78	3d printing	Home 3D printer users can also download some files for free for 3D printing on their machine.	(Photo: Business Wire)Each store features an immersive 3D printing experience center that lets consumers and small businesses create personalized products and use 3D printing hardware.	NS
79	3d printing	Becoming 3D's cost-effective solutions help reduce material wastes, and allows small businesses to bring costly and time consuming manufacturing in-house.	In weight sensitive applications such as satellites and planes 3D printing of parts can cut weight which saves a lot of money.	SS
80	3d printing	"""3D printing used to be out of reach for most businesses - but costs are coming down and materials technology has improved greatly."	"The Experience Centre, combined with our new Staples Easy 3D online service, will provide everyone access to lifelike, photorealistic 3D printed products at an affordable price."""	HS
81	3d printing	They succeeded, but they also believe that this affordable scanning technology could be used to provided periodic inspections of ongoing print jobs.	"The Experience Centre, combined with our new Staples Easy 3D online service, will provide everyone access to lifelike, photorealistic 3D printed products at an affordable price."""	NS
82	3d printing	3D Printed Products Can Improve Health Outcomes and Reduce Costs 7.1.4	Becoming 3D's cost-effective solutions help reduce material wastes, and allows small businesses to bring costly and time consuming manufacturing in-house.	NS
